,Seed,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
144,145,0.014036264229290926,4.193983476791471e-06,0.0012142234060603806,2.5096249067526686e-05,0.3741979061127997,0.46386355960824055,0.4190307328605201,0.96,17.46276595744681,0.24155934804349727,-0.23507439226897342,0.34516545822252676,11.689520530022598,0.16116541803375287
145,146,0.005467962549813764,2.0221259530707057e-05,0.010240450883955051,0.022387883744610565,0.3691756272401434,0.272657450076805,0.3209165386584742,0.94,18.456989247311828,0.21649845739104012,-0.1915241977537666,0.20560950755856466,13.09573022305947,0.19453046077722483
146,147,0.001062545166029602,0.0018229344946896478,0.017317043472412884,0.0022528598451656947,0.3815628815628815,0.3705738705738707,0.37606837606837606,0.92,18.675824175824175,0.22272895171877755,-0.18193852037064276,0.24030510441791123,14.022034000370539,0.14694577923363142
147,148,0.004749996475269432,0.0008916713174823331,0.008606887070906776,0.0031221806138228454,0.41865079365079366,0.4186507936507936,0.4186507936507936,0.97,18.453125,0.22262900307532688,-0.19169346427950634,0.23974852292414997,12.542859465357504,0.16190801707909874
148,149,0.002765384301130641,1.9107266329355507e-05,0.002122220626368646,0.00037265953711363163,0.3581246931762396,0.5513827524136803,0.45475372279495996,0.98,17.778350515463917,0.22892140070532602,-0.22125076831272258,0.2747888391438807,11.937545611110565,0.14591433363446424
149,150,0.008370344635966932,2.108790747241473e-07,0.004462964078503779,9.603375063848553e-08,0.44047619047619047,0.6686507936507937,0.5545634920634921,0.97,18.104166666666668,0.2523743096119118,-0.20697896749521982,0.4053904623536679,12.366772657901583,0.13601078457087004
150,151,0.008148500039822494,0.0002169477801347158,0.026431111817725724,0.0005497746264220226,0.37784679089026907,0.29365079365079366,0.33574879227053134,0.93,19.0,0.2328025419696433,-0.16773857118025376,0.29640165276308966,13.643958688579065,0.17602287564383393
151,152,0.003598592586365502,0.0002662943169295113,0.02459136491203641,0.7775097071232894,0.3228638973319824,0.20854441067207027,0.26570415400202635,0.95,18.99468085106383,0.17581473267083572,-0.167971567100976,-0.020944925746158423,13.475646804997433,0.1324913485849927
152,153,0.09734399596191062,0.0026960237602941745,0.08015342650688266,0.008966705696128483,0.31929181929181927,0.2606837606837607,0.28998778998778996,0.93,19.818681318681318,0.22039555024438032,-0.13187768254689863,0.22731115038985403,13.350210206090159,0.18103752155361913
153,154,0.04755516601578838,0.0016579398216691032,0.0396979997864398,0.00015321284939660295,0.25824175824175827,0.3681318681318681,0.3131868131868132,0.92,19.313186813186814,0.24431329891010797,-0.15401997619970847,0.3605013150602412,12.94146762734877,0.2096952755286751
