,Sim,vivo_tonic_scale,vivo_noise_scale,current_noise_scale,gstn_mu,gstn_pct,KS_FR_pval,KS_CV_pval,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
852,853,2.0,10,8,0.049999999999999996,0.30000000000000004,0.0004661567237513507,4.977017068821608e-13,0.013590473588787094,3.562187225652841e-16,0.5876494023904383,0.7767330677290836,0.682191235059761,1.0,28.835,0.48092422180025013,0.17474192501217345,-0.3138493430023033,18.133815787086842,0.28331373712540936
853,854,2.0,10,8,0.049999999999999996,0.4,0.009541725392827381,2.149964727835077e-12,0.00476181752211065,1.307727804601251e-14,0.3350763612217796,0.7542330677290837,0.5446547144754317,0.96,29.557291666666668,0.48685439637421934,0.20416818833522707,-0.3053885647848775,18.51391225083443,0.3032915907412641
854,855,2.0,10,8,0.049999999999999996,0.5,4.0879604423847784e-05,3.7804851624258903e-14,0.002447556985220465,3.2838711978979374e-16,0.5137832508350436,0.8111795243269346,0.6624813875809892,0.99,29.944444444444443,0.4746802161547859,0.21994084654367077,-0.32275787449588256,19.741241362942297,0.3105706291233053
855,856,2.0,10,20,0.01,0.1,0.0003560890065965435,1.8356279844170375e-09,8.561742262220591e-05,1.6287173075553122e-12,0.4204998189061934,0.590888969375025,0.5056943941406092,0.99,18.04040404040404,0.5192723440803281,-0.2650314211749043,-0.25913679556893177,12.966482971293031,0.22457154366632506
856,857,2.0,10,20,0.01,0.2,0.0007317123246284765,1.3400534086096076e-11,0.0003998055891887491,9.694692987799064e-16,0.3598937583001328,0.7121010905871463,0.5359974244436396,0.99,18.69191919191919,0.4970676244102649,-0.23848860295865654,-0.2908170110777934,12.930800101548137,0.19611672568901925
857,858,2.0,10,20,0.01,0.30000000000000004,0.017908984148809398,3.75214412047875e-10,0.0007713710580230329,5.015094991494634e-15,0.3099521107489234,0.7121010905871462,0.5110266006680348,0.99,19.04040404040404,0.5003326016628294,-0.224291281587175,-0.2861587589345687,11.90909947652642,0.21267713410994898
858,859,2.0,10,20,0.01,0.4,0.00031351156929827073,1.3768362231744736e-07,0.000315679478065241,4.583977188308804e-13,0.3903175178075577,0.5302829087689644,0.4603002132882611,0.99,18.565656565656564,0.5140068019893894,-0.24363255997730923,-0.2666493204145762,13.326825393692681,0.2290346533240708
859,860,2.0,10,20,0.01,0.5,0.0002177391104770874,4.3621164974272165e-13,0.0018554740106285115,1.122018269698442e-13,0.3732270916334661,0.7985657370517928,0.5858964143426295,1.0,19.355,0.5083748486556412,-0.21147459827950002,-0.27468461642371905,14.343516828170138,0.23861386989941763
860,861,2.0,10,20,0.03,0.1,0.21316379668810165,4.260893408823749e-09,0.566082840063453,1.461349157904346e-11,0.36637124969509716,0.6492397755915114,0.5078055126433043,0.99,25.510204081632654,0.5228328334666927,0.039289275197175226,-0.25405692639007776,14.631873858512172,0.2556361680801901
861,862,2.0,10,20,0.03,0.2,0.37331702593813776,7.608719672333483e-08,0.8036325041918335,1.0949384890574154e-12,0.21721115537848612,0.6185657370517926,0.4178884462151394,1.0,24.96,0.5184925227728437,0.01687388410972254,-0.26024939268551744,14.611242246982288,0.22522318489292986
862,863,2.0,10,20,0.03,0.30000000000000004,0.17849751353920681,3.4397991347664337e-10,0.33969982148039835,3.5569251425818e-17,0.3728758435645175,0.6942840881372467,0.5335799658508821,0.98,26.178571428571427,0.47800998319803484,0.06651865420734111,-0.3180071845933817,16.229107448391257,0.2451612984751111
863,864,2.0,10,20,0.03,0.4,0.47320265841343656,3.548511135857499e-09,0.23689172348900747,5.741639310806238e-11,0.23920318725099607,0.5985657370517927,0.4188844621513944,1.0,22.595,0.5352113048221987,-0.07947654601525726,-0.2363961476889889,13.593692471142639,0.2113219625352575
864,865,2.0,10,20,0.03,0.5,0.5227436095222723,1.971461172068301e-05,0.9362908743196848,2.721904693795367e-10,0.29043011626961546,0.4902024554841857,0.3903162858769006,0.98,24.683673469387756,0.5339644371186361,0.005616302680786739,-0.2381750955048967,17.01340824100246,0.2620253037388039
865,866,2.0,10,20,0.049999999999999996,0.1,0.0007966158451500695,1.226306389495833e-06,0.00820294954185182,1.3916727221812466e-10,0.37976095617529887,0.4785657370517928,0.4291633466135458,1.0,29.09,0.5338198418907393,0.18513066060704436,-0.23838139434808808,17.175182677339997,0.25205478973117074
866,867,2.0,10,20,0.049999999999999996,0.2,0.003845102959298159,3.948298188851897e-09,0.0024017526208315707,9.945693385784087e-12,0.3459630864297911,0.6534677616066348,0.49971542401821295,0.98,29.831632653061224,0.5188463572572193,0.21534487841557662,-0.25974456520352057,17.51398040364731,0.273112736193262
867,868,2.0,10,20,0.049999999999999996,0.30000000000000004,0.016233982740692335,6.488949272364824e-09,0.03621894792940122,2.8752337432336147e-12,0.49976095617529886,0.6385657370517928,0.5691633466135458,1.0,28.18,0.5165366735413107,0.14805713358221073,-0.2630398681375154,18.05706509929008,0.26556814247513627
868,869,2.0,10,20,0.049999999999999996,0.4,0.006035425759820588,3.930790863290441e-08,0.018883308482455667,3.962436545386408e-09,0.3999671417423091,0.5956791391136484,0.49782314042797876,0.98,28.695876288659793,0.5439504960308414,0.16907400559221042,-0.22392765157749694,18.5713387285425,0.2705461913414868
869,870,2.0,10,20,0.049999999999999996,0.5,0.0028226217141888244,1.24929307260763e-13,0.005537929139056376,5.3732346285915524e-20,0.4480039027563217,0.8075453288885275,0.6277746158224246,0.98,29.448979591836736,0.4586819152627134,0.19975553928761908,-0.3455831849509291,18.823900596121003,0.23789022301222076
870,871,2.0,10,40,0.01,0.1,0.055625905732281454,0.04990754574020044,0.001301806715784336,0.00041095542236858516,0.3333735764014648,0.29180248702161043,0.3125880317115376,0.99,19.27777777777778,0.610617034292513,-0.21462064239210799,-0.1288122738226054,12.033249857475555,0.23773058289009757
871,872,2.0,10,40,0.01,0.2,0.000834043939714114,0.0077484837588470586,0.00015176753545830896,0.00020672432436375686,0.34726400520367506,0.2949833319782096,0.3211236685909423,0.99,18.352040816326532,0.6080068471917036,-0.2523352954231521,-0.13253631497695417,11.088284216030761,0.2010671583671655
872,873,2.0,10,40,0.01,0.30000000000000004,0.006577597995183611,0.01834707677334094,0.0023622707118328415,0.0006177687342827127,0.296068252243551,0.2982816209907843,0.29717493661716765,1.0,19.54040404040404,0.6141501319380411,-0.20392121179331038,-0.12377148535567926,12.611057511324063,0.22642540914490816
873,874,2.0,10,40,0.01,0.4,0.0009964900465903816,0.016343817327469062,0.0013693668479873645,4.9811785636748794e-05,0.28286852589641437,0.2541670054475973,0.2685177656720058,0.99,19.255102040816325,0.598304460313155,-0.21554445508117223,-0.14637903453522808,12.509230244748007,0.21474694447018244
874,875,2.0,10,40,0.01,0.5,0.0001307124023948929,0.010525317533008156,1.5575467757611906e-05,0.0006062387184315415,0.47841287909586144,0.23611675745995603,0.35726481827790874,0.99,17.4234693877551,0.6143462273963576,-0.2901654250403294,-0.12349170941290302,11.832019865001817,0.21483208897380157
