,Sim,kcc2_S_change,kcc2_D_change,trpc3_change,tonic_CL_S_change,tonic_CL_D_change,stn_change,noise_change,KS_FR_pval,KS_FR_statistic,KS_CV_pval,KS_CV_statistic,Ttest_FR_pval,Ttest_CV_pval,Rel. Error FR,Rel. Error CV,Avg. Error,Percent Firing,Avg. FR,Avg. CV,Avg. FR Rel. Error,Avg. CV Rel. Error,STD FR,STD CV
42,43,0.33,0.33,0.33,0.66,0.66,1.5,1.0,5.352664015424208e-06,0.2800322426257588,0.01792111669262737,0.16965162850449633,0.007646949253808516,4.83913554527467e-07,0.5615254792312149,0.2994533867351822,0.43048943298319853,0.99,28.666666666666668,0.6572825842528925,0.21688808906296875,-0.16679384563620056,13.520093538616118,0.2391646572396398
43,44,0.33,0.33,0.33,0.66,0.66,1.5,1.5,3.097760650872094e-07,0.30932769087382556,0.2990750318064904,0.10687926648026398,0.0011121294649271939,0.048544537759224585,0.6827376004433362,0.21310360462480166,0.44792060253406896,0.99,29.803030303030305,0.7376388130279614,0.2651262532700103,-0.06493004160287746,13.32837373323614,0.2435555524525968
44,45,0.33,0.33,0.33,0.66,0.66,1.5,2.0,1.1888728452974954e-07,0.3185470666767425,0.09579499923813378,0.1358472505604675,9.77862968916719e-05,0.8613291238163359,0.6221315398372754,0.35451774603894304,0.48832464293810923,0.99,31.08080808080808,0.7841687232019859,0.31936738902281697,-0.005946267427483461,13.944642914527146,0.281152897144553
45,46,0.33,0.33,0.33,0.66,1.0,1.0,1.0,0.004733326483933013,0.1922466560870551,0.05796215279866415,0.14680470540819668,0.8037720626094071,0.0008886791293383916,0.46056575732386207,0.3253482455477468,0.3929570014358044,0.99,24.025252525252526,0.7013283219776772,0.019861987257318935,-0.11095913979579111,11.999447322578739,0.2550069435793771
46,47,0.33,0.33,0.33,0.66,1.0,1.0,1.5,0.0021515689566104046,0.20446358850348875,0.29028553415435143,0.10776090077835714,0.28713296143769523,0.45217648591159754,0.46056575732386207,0.3878687120582381,0.4242172346910501,0.99,25.565656565656564,0.7687322841455709,0.08525149873797519,-0.025514313700740705,12.16109180385753,0.27778558457162666
47,48,0.33,0.33,0.33,0.66,1.0,1.0,2.0,0.004512580281157834,0.19164588528678303,0.032733053382225985,0.15815461346633417,0.09274193668563913,0.436775329918208,0.4519201995012469,0.42603491271820443,0.43897755610972566,1.0,26.75,0.8102155237255718,0.13552638543375858,0.027072034011928942,13.29971804212405,0.3068615986802223
48,49,0.33,0.33,0.33,0.66,1.0,1.25,1.0,0.0002083025385387701,0.23688254112194262,0.05141749394128609,0.1492984709942316,0.12908712947420561,1.487330959133732e-05,0.46424343182447914,0.31965540693720235,0.3919494193808407,0.99,26.439393939393938,0.6753089700761052,0.12234128721716715,-0.14394264591072864,12.83013984809127,0.2460244239637416
49,50,0.33,0.33,0.33,0.66,1.0,1.25,1.5,3.216750032266826e-05,0.25983022242373865,0.4751739722162347,0.09229451623466586,0.020615819681969447,0.29173966554568986,0.54505151263256,0.2939116854328824,0.4194815990327212,0.99,27.964646464646464,0.7609679971088,0.18708762317506297,-0.0353567344468159,12.946325192351837,0.265083170993548
50,51,0.33,0.33,0.33,0.66,1.0,1.25,2.0,5.061317628472993e-05,0.25446484798105745,0.08427318981818345,0.1387188594171138,0.0034548559729620444,0.5372413116470098,0.5211214388271745,0.370739817123857,0.44593062797551575,0.99,29.161616161616163,0.8055064802298731,0.23789848947314685,0.021102601509403775,13.500622560061212,0.2858161003864077
51,52,0.33,0.33,0.33,0.66,1.0,1.5,1.0,2.2873003033046854e-06,0.28912567067180533,0.000319183584287112,0.23129046071689463,0.007845510713859008,3.6266457181151746e-08,0.6019295196352553,0.4540164739665986,0.527972996800927,0.99,28.651515151515152,0.6459800036391786,0.21624491354020817,-0.18112159439017642,13.551520572449721,0.22740867359033484
52,53,0.33,0.33,0.33,0.66,1.0,1.5,1.5,2.2873003033046854e-06,0.28912567067180533,0.16944074265862713,0.12221970326708481,0.0012276594457520836,0.015233434831954409,0.6423335600392956,0.1699287135696113,0.40613113680445345,0.99,29.772727272727273,0.7246239173161448,0.26383990222448916,-0.08142841150539763,13.746675029990538,0.26313891019539765
53,54,0.33,0.33,0.33,0.66,1.0,1.5,2.0,4.005790662714687e-08,0.3286480767777526,0.2288645370145383,0.11438575278974282,9.023972674611561e-05,0.9870086662165719,0.6423335600392956,0.3232827023350714,0.4828081311871835,0.99,31.106060606060606,0.7884222632795392,0.32043934822741793,-0.0005542551402890687,13.765399590833416,0.2811255804269865
54,55,0.33,0.33,0.33,1.0,0.33,1.0,1.0,0.00862291464881021,0.18239754149978588,0.06296413232352567,0.14504143681201037,0.8790923445321698,0.003373894195645073,0.46056575732386207,0.30514622534572655,0.3828559913347943,0.99,23.843434343434343,0.7113102556936349,0.012143880984192217,-0.09830551287208208,11.843390191815356,0.2610907217334509
55,56,0.33,0.33,0.33,1.0,0.33,1.0,1.5,0.0012498177676562698,0.2124486762890753,0.48349261356507406,0.0916899670016877,0.33160870741112725,0.6484331053058017,0.4403637371218419,0.27093881457971225,0.35565127585077705,0.99,25.38888888888889,0.776720632187895,0.07774778430576881,-0.015387861377909165,12.155880556289018,0.2722204166825719
56,57,0.33,0.33,0.33,1.0,0.33,1.0,2.0,0.0012498177676562698,0.2124486762890753,0.013294503174986082,0.1749918133958034,0.08558688223222931,0.13939613920805857,0.4555278470490441,0.4547217814050731,0.4551248142270586,0.99,26.828282828282827,0.8292441402896311,0.1388494589680214,0.051193714412490036,13.010516650616445,0.2975908561577897
57,58,0.33,0.33,0.33,1.0,0.33,1.25,1.0,9.261974090613607e-05,0.24710949897982318,0.006439585866683474,0.18725912491498525,0.13685919054267418,1.8495594109390512e-06,0.4605657573238621,0.3182951711630016,0.38943046424343186,0.99,26.37878787878788,0.6635455964193779,0.11976858512612501,-0.1588545202881807,12.699735722433402,0.24610234788134822
58,59,0.33,0.33,0.33,1.0,0.33,1.25,1.5,4.0616551228998596e-05,0.25708456132396285,0.25407023195578277,0.11148895438172246,0.03442645138033864,0.13758750862945626,0.4844454520264994,0.35451774603894304,0.4194815990327212,0.99,27.575757575757574,0.7497709016156631,0.17057945142420874,-0.04955076468494452,12.765634825847364,0.259311549963658
59,60,0.33,0.33,0.33,1.0,0.33,1.25,2.0,1.683262592117856e-05,0.26731151918184337,0.022296730735580823,0.16564648983601601,0.004712428648413564,0.4940689705885324,0.5413234590291947,0.2942139600493715,0.4177687095392831,0.99,28.964646464646464,0.8073263851904795,0.22953720767725955,0.02340960925593947,13.349091545009083,0.2866472243234615
60,61,0.33,0.33,0.33,1.0,0.33,1.5,1.0,1.397884536093099e-05,0.26942744149726694,0.006932026362205477,0.18610040555177712,0.015852187532911496,7.447905266827774e-07,0.5009194186251542,0.36005944734124273,0.4304894329831985,0.99,28.181818181818183,0.6588612449914651,0.19630647233463103,-0.16479265182010958,13.672477431630938,0.24472733444173755
